Last Name,First Name,Position,Team,GP,TOI
Iginla,Jarome,F,L.A,19,15990
Kempe,Adrian,F,L.A,25,16203
King,Dwight,F,L.A,63,49733
Kopitar,Anze,F,L.A,76,72307
Ladue,Paul,D,L.A,22,18150
Lewis,Trevor,F,L.A,82,63208
Martinez,Alec,D,L.A,82,84841
McNabb,Brayden,D,L.A,49,42367
Muzzin,Jake,D,L.A,82,87124
Nolan,Jordan,F,L.A,46,29428
Pearson,Tanner,F,L.A,80,61550
Purcell,Teddy,F,L.A,12,8649
Setoguchi,Devin,F,L.A,45,32011
Shore,Nick,F,L.A,70,46994
Toffoli,Tyler,F,L.A,63,50106
Bertschy,Christoph,F,MIN,5,2440
Brodin,Jonas,D,MIN,68,66067
Cannone,Patrick,F,MIN,3,1419
Coyle,Charlie,F,MIN,82,69906
Dalpe,Zac,F,MIN,9,4614
Dumba,Matt,D,MIN,76,79524
Eriksson Ek,Joel,F,MIN,15,9315
Folin,Christian,D,MIN,51,42651
Gabriel,Kurtis,F,MIN,13,4539
Granlund,Mikael,F,MIN,81,73561
Graovac,Tyler,F,MIN,52,30572
Hanzal,Martin,F,MIN,20,15448
Haula,Erik,F,MIN,72,54172
Koivu,Mikko,F,MIN,80,72300
Mitchell,Zack,F,MIN,11,5524
Niederreiter,Nino,F,MIN,82,64276
Olofsson,Gustav,D,MIN,13,9965
Parise,Zach,F,MIN,69,58387
Pominville,Jason,F,MIN,78,57049
Prosser,Nate,D,MIN,39,28383
Pulkkinen,Teemu,F,MIN,9,4701
Reilly,Mike,D,MIN,17,11378
Scandella,Marco,D,MIN,71,69803
Schroeder,Jordan,F,MIN,37,21671
Spurgeon,Jared,D,MIN,76,89494
Staal,Eric,F,MIN,82,73138
Stewart,Chris,F,MIN,79,48446
Suter,Ryan,D,MIN,82,107449
Tuch,Alex,F,MIN,6,3853
White,Ryan,F,MIN,19,11216
Zucker,Jason,F,MIN,79,68368
Andrighetto,Sven,F,MTL,27,18190
Barberio,Mark,D,MTL,26,21145
Beaulieu,Nathan,D,MTL,74,74824
Benn,Jordie,D,MTL,13,11738
Byron,Paul,F,MTL,81,60942
Carr,Daniel,F,MTL,33,19802
Danault,Phillip,F,MTL,82,68115
Davidson,Brandon,D,MTL,10,9780
De la Rose,Jacob,F,MTL,9,4742
Desharnais,David,F,MTL,31,21741
Emelin,Alexei,D,MTL,76,85195
Farnham,Bobby,F,MTL,3,1489
Flynn,Brian,F,MTL,51,32180
Galchenyuk,Alex,F,MTL,61,49834
Gallagher,Brendan,F,MTL,64,49953
Hanley,Joel,D,MTL,7,4266
Hudon,Charles,F,MTL,3,2074
Johnston,Ryan,D,MTL,7,4145
King,Dwight,F,MTL,17,11729
Lehkonen,Artturi,F,MTL,73,54688
Lernout,Brett,D,MTL,2,2265
Markov,Andrei,D,MTL,62,65099
Martinsen,Andreas,F,MTL,9,6399
McCarron,Michael,F,MTL,31,17566
Mitchell,Torrey,F,MTL,78,50034
Nesterov,Nikita,D,MTL,13,11576
Ott,Steve,F,MTL,11,7301
Pacioretty,Max,F,MTL,81,75284
Pateryn,Greg,D,MTL,24,19721
Petry,Jeff,D,MTL,80,89012
Plekanec,Tomas,F,MTL,78,65032
Radulov,Alex,F,MTL,76,70324
Redmond,Zach,D,MTL,16,11728
Scherbak,Nikita,F,MTL,3,1761
Sergachev,Mikhail,D,MTL,4,2827
Shaw,Andrew,F,MTL,68,52980
Terry,Chris,F,MTL,14,7930
Weber,Shea,D,MTL,78,88385
Auvitu,Yohann,D,N.J,25,20264
Bennett,Beau,F,N.J,65,46240
Blandisi,Joseph,F,N.J,27,18901
Boucher,Reid,F,N.J,9,5638
Cammalleri,Mike,F,N.J,61,54100
Coleman,Blake,F,N.J,23,16198
Fiddler,Vernon,F,N.J,39,23516
Gazdic,Luke,F,N.J,11,4676
Greene,Andy,D,N.J,66,69295
Hall,Taylor,F,N.J,72,70361
Helgeson,Seth,D,N.J,9,6723
Henrique,Adam,F,N.J,82,66160
Josefson,Jacob,F,N.J,38,24521
Kalinin,Sergey,F,N.J,43,26744
Kapla,Michael,D,N.J,5,4843
Lappin,Nick,F,N.J,43,28398
Lovejoy,Ben,D,N.J,82,85651
Merrill,Jon,D,N.J,51,51311
Moore,John,D,N.J,63,60341
Noesen,Stefan,F,N.J,32,23243
Palmieri,Kyle,F,N.J,80,66074
Parenteau,PA,F,N.J,59,44362
Pietila,Blake,F,N.J,10,7065
Prout,Dalton,D,N.J,14,12305
Quenneville,John,F,N.J,12,8476
Quincey,Kyle,D,N.J,53,52199
Rooney,Kevin,F,N.J,4,2394
Santini,Steven,D,N.J,38,33440
Severson,Damon,D,N.J,80,85290
Smith-Pelly,Devante,F,N.J,53,35466
Speers,Blake,F,N.J,3,1494
Stollery,Karl,D,N.J,11,9463
Thomson,Ben,F,N.J,3,1958
Wood,Miles,F,N.J,60,41013
Zacha,Pavel,F,N.J,70,49426
Zajac,Travis,F,N.J,80,71210
Aberg,Pontus,F,NSH,15,10863
Arvidsson,Viktor,F,NSH,80,67671
Bass,Cody,F,NSH,9,3325
Bitetto,Anthony,D,NSH,29,19722
Boucher,Reid,F,NSH,3,1561
Carle,Matt,D,NSH,6,4490
Carrier,Alex,D,NSH,2,1246
Ekholm,Mattias,D,NSH,82,97264
Ellis,Ryan,D,NSH,71,81647
Fiala,Kevin,F,NSH,54,40698
Fiddler,Vernon,F,NSH,20,11173
Fisher,Mike,F,NSH,72,54104
Forsberg,Filip,F,NSH,82,71084
Gaudreau,Frederick,F,NSH,9,4585
Granberg,Petter,D,NSH,10,5570
Grant,Derek,F,NSH,6,2666
Hunt,Brad,D,NSH,3,2907
Irwin,Matt,D,NSH,74,66650
Jarnkrok,Calle,F,NSH,81,63824
Johansen,Ryan,F,NSH,82,74402
Josi,Roman,D,NSH,72,85336
Kamenev,Vladislav,F,NSH,2,1098
Liambas,Mike,F,NSH,1,282
McLeod,Cody,F,NSH,31,15149
Neal,James,F,NSH,70,62527
Pardy,Adam,D,NSH,4,2618
Parenteau,PA,F,NSH,8,5735
Ribeiro,Mike,F,NSH,46,36911
Salomaki,Miikka,F,NSH,5,3316
Sissons,Colton,F,NSH,58,35277
Smith,Trevor,F,NSH,1,440
Smith,Craig,F,NSH,78,59451
Subban,P.K.,D,NSH,66,78043
Watson,Austin,F,NSH,77,48850
Weber,Yannick,D,NSH,73,50686
Wilson,Colin,F,NSH,70,54600
Zolnierczyk,Harry,F,NSH,24,12698
Bailey,Josh,F,NYI,82,74274
Barzal,Mathew,F,NYI,2,1108
Beauvillier,Anthony,F,NYI,66,49333
Boychuk,Johnny,D,NYI,66,66593
Chimera,Jason,F,NYI,82,57633
Cizikas,Casey,F,NYI,59,41092
Clutterbuck,Cal,F,NYI,66,45486
de Haan,Calvin,D,NYI,82,85233
Gionta,Stephen,F,NYI,26,15285
Hamonic,Travis,D,NYI,49,51706
Hickey,Thomas,D,NYI,76,68326
Ho-Sang,Joshua,F,NYI,21,17695
Jones,Connor,F,NYI,4,2736
Kearns,Bracken,F,NYI,2,1343
Kulemin,Nikolay,F,NYI,72,50986
Ladd,Andrew,F,NYI,78,62017
Leddy,Nick,D,NYI,81,91300
Lee,Anders,F,NYI,81,63695
Mayfield,Scott,D,NYI,25,21160
Nelson,Brock,F,NYI,81,64018
Pelech,Adam,D,NYI,44,41773
Prince,Shane,F,NYI,50,35167
Pulock,Ryan,D,NYI,1,175
Quine,Alan,F,NYI,61,40447
Seidenberg,Dennis,D,NYI,73,76040
Strome,Ryan,F,NYI,69,49344
Tavares,John,F,NYI,77,75161
Beck,Taylor,F,NYR,2,1497
Buchnevich,Pavel,F,NYR,41,27987
Clendening,Adam,D,NYR,31,26556
Fast,Jesper,F,NYR,68,49455
Girardi,Dan,D,NYR,63,63545
Glass,Tanner,F,NYR,11,7004
Grabner,Michael,F,NYR,76,56205
Hayes,Kevin,F,NYR,76,62336
Holden,Nick,D,NYR,80,87842
Hrivik,Marek,F,NYR,16,9652
Jensen,Nicklas,F,NYR,7,3449
Jooris,Josh,F,NYR,12,5971
Kampfer,Steven,D,NYR,10,7663
Klein,Kevin,D,NYR,60,58713
Kreider,Chris,F,NYR,75,64720
Lindberg,Oscar,F,NYR,65,41338
McDonagh,Ryan,D,NYR,77,87309
McIlrath,Dylan,D,NYR,1,554
Miller,J.T.,F,NYR,82,67192
Nash,Rick,F,NYR,67,53250
Nieves,Cristoval,F,NYR,1,699
Pirri,Brandon,F,NYR,60,34950
Puempel,Matt,F,NYR,27,15130
Skjei,Brady,D,NYR,80,75758
Smith,Brendan,D,NYR,18,19810
Staal,Marc,D,NYR,72,74166
Stepan,Derek,F,NYR,81,71413
Vesey,Jimmy,F,NYR,80,57966
Zibanejad,Mika,F,NYR,56,46941
Zuccarello,Mats,F,NYR,80,75110
Bailey,Casey,F,OTT,7,3358
Blunden,Mike,F,OTT,2,974
Borowiecki,Mark,D,OTT,70,55777
Brassard,Derick,F,OTT,81,71733
Burrows,Alex,F,OTT,20,14350
Ceci,Cody,D,OTT,79,91217
Chabot,Thomas,D,OTT,1,429
Claesson,Fredrik,D,OTT,33,24709
Didomenico,Chris,F,OTT,3,1830
Dzingel,Ryan,F,OTT,81,62551
Englund,Andreas,D,OTT,5,3130
Harpur,Ben,D,OTT,6,6153
Hoffman,Mike,F,OTT,74,63921
Jokipakka,Jyrki,D,OTT,3,2586
Karlsson,Erik,D,OTT,77,97033
Kelly,Chris,F,OTT,82,48224
Lazar,Curtis,F,OTT,33,16690
MacArthur,Clarke,F,OTT,4,2704
McCormick,Max,F,OTT,7,2834
Methot,Marc,D,OTT,68,72197
Neil,Chris,F,OTT,53,23928
Pageau,Jean-Gabriel,F,OTT,82,66933
Paul,Nick,F,OTT,1,943
Phaneuf,Dion,D,OTT,81,87604
Puempel,Matt,F,OTT,13,6375
Pyatt,Tom,F,OTT,82,65809
Robinson,Buddy,F,OTT,4,1667
Ryan,Bobby,F,OTT,62,48792
Smith,Zack,F,OTT,74,57842
Stalberg,Viktor,F,OTT,18,12559
Stone,Mark,F,OTT,71,65737
Turris,Kyle,F,OTT,78,74237
Varone,Phil,F,OTT,7,3052
White,Colin,F,OTT,2,1444
Wideman,Chris,D,OTT,76,56432
Wingels,Tommy,F,OTT,36,21942
Bellemare,Pierre-Edouard,F,PHI,82,49950
Cousins,Nick,F,PHI,60,38871
Couturier,Sean,F,PHI,66,58559
